abandoned infant,foundling
bus driver,busman
bush league,minors
business community,businessmen
business leader,magnate
business relationship,account
butterfly bush,buddleia
butterfly collector,lepidopterist
button hole,buttonhole
butyl alcohol,butanol
cable railway,funicular
calcium hydroxide,lime
calcium light,limelight
calcium oxide,quicklime
calculating machine,calculator
calf bone,fibula
calyx tube,hypanthium
camera operator,cameraman
camp bed,cot
camphor ball,mothball
camping bus,camper
camping site,campsite
canal boat,narrowboat
cancer drug,antineoplastic
candle flame,candlelight
candle holder,candlestick
candy store,confectionary
cannon ball,cannonball
capitalist economy,capitalism
car maker,automaker
car manufacturer,carmaker
car port,carport
caramelized sugar,caramel
carbon 14,radiocarbon
carbon black,lampblack
card game,cards
card sharp,sharper
cargo ships,shipping
carpet pad,underlay
carrier bag,sack
carrion fungus,stinkhorn
cartridge holder,clip
case shot,canister
casting lots,sortition
cat sleep,catnap
catch phrase,catchphrase
cattle farm,ranch
cattle pen,corral
cattle plague,rinderpest
cattle thief,rustler
causal factor,determinant
cave dweller,caveman
cave man,caveman
ceding back,recession
ceiba tree,kapok
celery root,celeriac
celestial equator,equinoctial
celestial latitude,declination
cell organ,organelle
cellular phone,cellphone
cellular telephone,cellphone
cellulose nitrate,nitrocellulose
cellulose xanthate,viscose
census taker,enumerator
center line,centerline
central office,headquarters
century plant,agave
chair lift,chairlift
checker board,checkerboard
checkered lily,fritillary
chemical attraction,affinity
chemical science,chemistry
chess board,chessboard
chess piece,chessman
child care,childcare
chimney corner,inglenook
china clay,kaolin
chit chat,gab
choke hold,chokehold
chorus girl,showgirl
chromium steel,stainless
chronological record,annals
church bench,pew
church member,churchgoer
ciliated protozoan,ciliate
civil death,attainder
civil order,polity
civil wrong,tort
cladistic analysis,cladistics
claim agent,adjuster
clan member,clansman
clasp knife,jackknife
clay sculpture,modeling
cleft lip,harelip
clot buster,thrombolytic
clothes peg,clothespin
clothes pin,clothespin
clothing store,haberdashery
cloud cover,cloudiness
clove pink,carnation
coach dog,dalmatian
coal black,ebony
coal mine,coalpit
coal miner,collier
coal oil,kerosene
coaxial cable,coax
cobalt blue,aqua
coffee cake,coffeecake
cogent evidence,proof
coin blank,planchet
coin collecting,numismatics
coin collector,numismatist
collapsible shelter,tent
college boy,collegian
college man,collegian
colloidal solution,sol
colloidal suspension,sol
colorimetric analysis,colorimetry
coloring material,colour
combat boot,buskin
combat ship,warship
comic opera,bouffe
coming back,return
commanding officer,commandant
commercial traveler,roadman
commercial traveller,roadman
common good,commonweal
common land,commons
common mood,indicative
common people,folk
common person,commoner
common viper,adder
communion table,altar
compiling program,compiler
complex number,imaginary
compression bandage,tourniquet
computer keyboard,keypad
computer science,computing
computing machine,computer
concave shape,concavity
concert dance,ballet
concurrent execution,multiprogramming
condensation trail,contrail
coniferous tree,conifer
consonant rhyme,consonance
contact action,catalysis
contagious abortion,brucellosis
contagious disease,contagion
container vessel,containership
continuous tense,progressive
conversational partner,interlocutor
cookery book,cookbook
cooking utensil,cookware
coordination compound,complex
copper glance,chalcocite
copper pyrites,chalcopyrite
coral tree,erythrina
cord grass,cordgrass
corn cob,corncob
corn field,cornfield
corn liquor,bootleg
corn stalk,cornstalk
corneal graft,keratoplasty
corneal transplant,keratoplasty
correlational statistics,correlation
council member,councillor
cover girl,lovely
covered stand,grandstand
covering fire,cover
cow barn,cowshed
cow man,cattleman
cow pen,corral
crab grass,crabgrass
crack addict,binger
crack shot,marksman
crawl space,crawlspace
cream pitcher,creamer
creative activity,creation
creative person,artist
creek bed,streambed
crescent roll,croissant
crew cut,flattop
crew member,crewman
critical point,juncture
crossed eye,esotropia
crow blackbird,grackle
crowned head,sovereign
cruciferous plant,crucifer
crude oil,petroleum
crushed rock,gravel
cubic metre,kiloliter
cut price,cheapness
cutting off,abscission
cutting tool,cutlery
cycle rickshaw,pedicab
cylindrical lining,bushing
dairy farmer,dairyman
dairy farming,dairying
dance hall,ballroom
dance palace,ballroom
dangerous undertaking,adventure
dark glasses,sunglasses
dart board,dartboard
date line,dateline
day care,daycare
dead end,cul
dead person,deceased
dead room,morgue
dead soul,deceased
death penalty,execution
deccan hemp,kenaf
decision making,deciding
decompression sickness,bends
deductive reasoning,deduction
deep red,crimson
deferred payment,credit
degenerative arthritis,osteoarthritis
delivery boy,deliveryman
dental medicine,dentistry
dental plate,denture
department store,emporium
deposit box,lockbox
descriptive anthropology,ethnography
desert lynx,caracal
desperate criminal,desperado
detention cell,bullpen
determining factor,determinant
detonating device,detonator
diabetic acidosis,ketoacidosis
diacritical mark,diacritic
diametrical opposition,antipodal
digging up,exhumation
diplomatic negotiations,diplomacy
dirty money,loot
dirty word,vulgarism
discount house,discounter
discount store,discounter
diseased person,sufferer
dish washer,dishwasher
dishwashing machine,dishwasher
dissolving agent,solvent
distinctive feature,peculiarity
divan bed,daybed
divergent strabismus,walleye
diversionary attack,diversion
docking fee,dockage
dog house,kennel
dog sled,dogsled
dog sleigh,dogsled
domed stadium,dome
door guard,doorman
double bass,contrabass
double bassoon,contrabassoon
double refraction,birefringence
double star,binary
dramatic art,dramaturgy
drawing lots,sortition
drawing pin,thumbtack
dress shop,boutique
dress suit,tailcoat
drinking fountain,bubbler
driving force,drive
drug addict,junkie
drug company,pharma
drug peddler,pusher
drunken revelry,debauch
dry mouth,xerostomia
dry wall,wallboard
duck hunting,ducking
duck shot,buckshot
dump truck,dumper
durable goods,durables
dust storm,duster
dwarf buffalo,anoa
dwarf cornel,bunchberry
ear lobe,earlobe
earnest money,arles
earthenware jar,crock
east wind,easterly
eating house,restaurant
eating place,restaurant
eating utensil,cutlery
echo sounder,sonar
echo sounding,echolocation
ecological terrorism,ecoterrorism
economic expert,economist
economic science,economics
economic system,economy
educational activity,education
egg cell,ovum
elbow bone,ulna
elderberry bush,elder
electric light,lightbulb
electric power,wattage
electric refrigerator,fridge
electric storm,thunderstorm
electrical capacity,capacitance
electrical energy,electricity
electrical power,wattage
electrical storm,thunderstorm
electronic image,bitmap
electronic mail,email
elephant bird,aepyornis
embroidery frame,tambour
embroidery hoop,tambour
emery paper,sandpaper
enclosed space,cavity
end game,endgame
end point,resultant
end point,terminus
end product,output
engine room,engineering
engineering school,polytechnic
enteric bacteria,enterobacteria
environmental science,bionomics
epiphytic plant,epiphyte
epithelial tissue,epithelium
equipment casualty,damage
equipment failure,breakdown
equivalent word,synonym
escape expert,escapologist
estrogen antagonist,tamoxifen
ethnic group,ethnos
ethyl alcohol,ethanol
even chance,tossup
evening clothes,formalwear
evening dress,formalwear
exclusive right,prerogative
existential philosopher,existentialist
existential philosophy,existentialism
existentialist philosophy,existentialism
extra time,overtime
extragalactic nebula,galaxy
eye doctor,ophthalmologist
eye infection,sty
eye tooth,canine
face cloth,washcloth
face fungus,beard
factory farm,agribusiness
fairy story,fairytale
fairy tale,fairytale
false fruit,pome
false hair,hairpiece
false name,alias
false witness,perjurer
family name,surname
famous person,celebrity
farm animal,livestock
farm horse,dobbin
farm worker,farmhand
farming area,farmland
fashion designer,couturier
feeding chair,highchair
felled seam,fell
fellow feeling,sympathy
fellow traveler,companion
felt hat,fedora
female horse,mare
female parent,mother
fertilized ovum,zygote
fetter bone,pastern
feudal lord,seigneur
feudal system,feudalism
fiber bundle,fasciculus
fibre bundle,fasciculus
fibrous joint,suture
field general,quarterback
field hand,farmhand
field mouse,vole
fighting cock,gamecock
figured bass,continuo
file name,filename
film editing,cutting
film making,moviemaking
film producer,filmmaker
final payment,payoff
financial obligation,indebtedness
financial officer,treasurer
finger grass,crabgrass
finishing touch,capstone
fire beetle,firefly
fire hydrant,fireplug
fire station,firehouse
firing mechanism,gunlock
first balcony,mezzanine
first light,dawn
first name,forename
first stomach,rumen
first team,varsity
fish bowl,fishbowl
fish duck,merganser
fish hawk,osprey
fish tank,aquarium
fishing net,fishnet
five iron,mashie
flame stitch,bargello
flat solid,sheet
flexible joint,hinge
flick knife,switchblade
flight attendant,steward
flightless bird,ratite
floating policy,floater
flood plain,floodplain
floor board,floorboard
floral cup,hypanthium
flow diagram,flowchart
flower bed,flowerbed
flower gardening,floriculture
flower stalk,scape
flowering glume,lemma
flowering plant,angiosperm
fluid mechanics,hydraulics
fluorescent dye,fluorescein
flute player,flutist
flying bridge,flybridge
flying reptile,pterosaur
focal point,focus
folk singer,jongleur
folk tale,folktale
food color,coloring
food colour,coloring
food elevator,dumbwaiter
food product,foodstuff
food shop,deli
food waste,garbage
foot lever,treadle
foot race,footrace
foot soldier,infantryman
football player,footballer
forced feeding,gavage
foreign mission,legation
forgetful person,scatterbrain
forward pass,aerial
foundling hospital,creche
fourth power,biquadratic
fractional process,fractionation
fraternity house,chapterhouse
friendly relationship,friendship
fringe benefit,perquisite
front matter,prelims
front tooth,anterior
fruit drink,ade
fruit sugar,fructose
full dress,tailcoat
fundamental law,constitution
fundamental principle,fundamentals
funeral director,mortician
furnace lining,refractory
furniture maker,cabinetmaker
gag rule,cloture
gall bladder,gallbladder
gallows tree,gibbet
game room,playroom
game warden,gamekeeper
gang fight,rumble
garbage hauler,garbageman
garden cart,barrow
garden cart,wheelbarrow
garlic sauce,aioli
gas meter,gasometer
gaseous state,gas
gear box,gearbox
gear case,gearbox
gear lever,gearshift
gem clip,paperclip
genetic constitution,genotype
genital organ,genitalia
gentle wind,breeze
geographic expedition,exploration
giant perch,barramundi
giant squid,architeuthis
giant willowherb,fireweed
ginger nut,gingersnap
ginger snap,gingersnap
given name,forename
giving medication,administration
glandular cancer,adenocarcinoma
glandular fever,mononucleosis
gluteal muscle,gluteus
gnu goat,takin
goat cheese,chevre
goat herder,goatherd
gold mine,goldmine
golden buttons,tansy
golden syrup,treacle
goldfish bowl,fishbowl
golf player,golfer
good humor,amiability
good humour,amiability
good luck,break
good manners,courtesy
good temper,amiability
gouty arthritis,gout
governing body,governance
grace note,appoggiatura
grad student,postgraduate
graduate student,postgraduate
grain alcohol,ethanol
graphic artist,printmaker
graphic symbol,grapheme
grave mound,tumulus
graven image,idol
graving tool,graver
gravitational attraction,gravity
gravitational force,gravity
grayish brown,fawn
great maple,sycamore
great toe,hallux
greater omentum,caul
green plover,lapwing
greenish blue,aqua
grenade thrower,grenadier
greyish brown,dun
greyish brown,fawn
ground ball,grounder
ground level,grade
group discussion,conference
guard dog,watchdog
guitar player,guitarist
gym shoe,sneaker
gymnastic apparatus,exerciser
gymnastic exercise,gymnastics
gypsum board,plasterboard
gypsy dancing,flamenco
habitual criminal,recidivist
hack saw,hacksaw
hair ball,hairball
hair grease,hairdressing
hair oil,hairdressing
hair style,hairdo
hair tonic,hairdressing
half brother,stepbrother
half mask,domino
half sister,stepsister
hallucinogenic drug,hallucinogen
hand clapping,applause
hand saw,handsaw
handwriting expert,graphologist
hard coal,anthracite
hard worker,striver
hat shop,millinery
hawk moth,hawkmoth
hay conditioner,haymaker
head ache,headache
head covering,veil
head gate,penstock
healing herb,comfrey
health care,healthcare
health check,checkup
hearing loss,deafness
heart specialist,cardiologist
heart surgeon,cardiologist
heat rash,miliaria
heavy hydrogen,deuterium
heavy particle,baryon
herb doctor,herbalist
herb tea,herbal
herbaceous plant,herb
herbal therapy,phytotherapy
heroic poem,epic
high quality,superiority
high temperature,hotness
high tide,highwater
higher rank,seniority
higher status,seniority
hoarded wealth,treasure
holistic theory,holism
holy man,saint
holy oil,chrism
home run,homer
honey badger,ratel
hooded cloak,capote
hooded coat,capote
hoofed mammal,ungulate
horizontal stabilizer,tailplane
horned dinosaur,ceratopsian
horned rattlesnake,sidewinder
horny layer,corneum
horse barn,stable
horse chestnut,buckeye
horse fancier,horseman
horseback rider,horseman
hospital attendant,orderly
hospital care,hospitalisation
hot cake,pancake
hot dog,hotdog
hotel manager,hotelier
house fly,housefly
house servant,domestic
human body,bod
human death,fatality
human ecology,demography
human paleontology,paleoanthropology
human race,humankind
human race,world
humanistic discipline,humanities
hummingbird moth,hawkmoth
hunting expedition,campaign
hunting expedition,safari
hunting watch,hunter
hurdle race,hurdles
husk tomato,tomatillo
hussar monkey,patas
hydrated oxide,hydroxide
hydrogen carbonate,bicarbonate
hysterical neurosis,hysteria
ice cap,icecap
ice pick,icepick
idiomatic expression,idiom
idol worship,idolatry
ill turn,disservice
image breaker,iconoclast
imitation leather,leatherette
immediate apprehension,immediacy
immediate payment,cash
immunizing agent,immunogen
impacted tooth,impaction
incandescent lamp,lightbulb
indirect expression,circumlocution
indirect request,wish
inductive reasoning,generalization
inexperienced person,innocent
inherent aptitude,instinct
initial rhyme,alliteration
injured party,casualty
ink bottle,inkpot
inner circle,clique
innominate bone,hipbone
insect powder,insecticide
inside information,details
instruction manual,instructions
insurance company,insurer
insurance firm,insurer
intelligence agent,operative
interactive multimedia,hypermedia
intercellular substance,matrix
intercommunication system,intercom
interior decoration,decor
internal secretion,hormone
interpretive program,interpreter
intestinal flu,gastroenteritis
intestinal obstruction,ileus
inverse tangent,arctangent
investment banker,underwriter
iron carbide,cementite
iron overload,hemochromatosis
ischial bone,ischium
jazz band,combo
jazz group,combo
jazz musician,jazzman
jerked meat,jerky
jet black,ebony
jewelry maker,jeweler
joint author,coauthor
joint fir,ephedra
judicial admission,stipulation
judicial proceeding,litigation
judicial system,judicatory
jump shot,jumper
jungle fowl,gallina
kept woman,mistress
key fruit,samara
key stroke,keystroke
kidney bean,frijol
kidney disease,nephropathy
king protea,honeypot
kinship group,kindred
kissing disease,mononucleosis
knee bend,squat
knee pants,breeches
knockout punch,haymaker
labor coach,doula
labyrinthine sense,equilibrium
lady beetle,ladybug
laissez faire,individualism
lake herring,cisco
lamp oil,kerosene
lamp shade,lampshade
lamp shell,brachiopod
land area,acreage
land mass,landmass
land rail,corncrake
landing field,airfield
landscape architect,landscaper
landscape gardener,landscaper
landscape gardening,landscaping
large number,battalion
large number,multitude
last name,surname
launch area,launchpad
law officer,lawman
lawn bowling,bowls
leafy vegetable,greens
learning ability,brainpower
lease giver,lessor
legal age,majority
legal assistant,paralegal
legal expert,jurist
legal guardian,trustee
legal injury,wrong
legal philosophy,jurisprudence
legal power,jurisdiction
legal residence,domicile
legislative act,statute
legislative assembly,legislature
leguminous plant,legume
lemon grass,lemongrass
letter box,mailbox
letter paper,stationery
letter writer,correspondent
lexical ambiguity,polysemy
license plate,numberplate
life history,career
life science,bioscience
life scientist,biologist
lift bridge,drawbridge
light intensity,candlepower
light opera,operetta
light touch,brush
line backer,linebacker
line drawing,limning
linear accelerator,linac
linguistic communication,language
linguistic scientist,linguist
lip rouge,lipstick
little finger,pinkie
liver sausage,liverwurst
living dead,zombie
living space,lebensraum
living stone,lithops
living substance,protoplasm
loaf sugar,sugarloaf
loan office,pawnshop
loan shark,usurer
loan translation,calque
locust bean,carob
logical argument,argumentation
logical system,logic
logical thinking,reasoning
long horse,buck
long pillow,bolster
long plane,jointer
loose woman,adulteress
loud hailer,bullhorn
love affair,romance
love bite,hickey
love feast,agape
low quality,inferiority
lower class,underclass
lower jaw,mandible
lubricating oil,grease
lumbar pain,lumbago
lumber jacket,lumberjack
lunar month,lunation
lunch period,lunchtime
lymph cell,lymphocyte
macroeconomic expert,macroeconomist
magnetic attraction,magnetism
magnetic force,magnetism
magnetic levitation,maglev
mail boat,mailboat
mail pouch,mailbag
main course,entree
main office,headquarters
main road,highway
major league,majors
major tranquilizer,antipsychotic
male chauvinist,sexist
male child,boy
male monarch,king
male parent,father
malicious gossip,scandal
malicious mischief,vandalism
malt sugar,maltose
manic disorder,mania
manufacturing business,manufacturer
manufacturing plant,factory
map maker,cartographer
marathon runner,marathoner
marijuana cigarette,joint
marijuana cigarette,reefer
marriage broker,matchmaker
married couple,marriage
married man,husband
married person,spouse
married woman,wife
marsh elder,iva
marsh hen,gallinule
mass murder,massacre
material body,bod
meat house,smokehouse
meat packing,meatpacking
mechanical drawing,drafting
mechanical man,android
medical evacuation,medevac
medical history,anamnesis
medical record,anamnesis
medical specialty,medicine
medical student,medico
medicinal drug,medication
megalithic structure,megalith
melody pipe,chanter
melting pot,crucible
memorial tablet,brass
memory loss,amnesia
mental ability,capacity
mental capacity,brainpower
mental disease,psychopathy
mental disorder,folie
mercantile system,mercantilism
merchant ship,freighter
mercy killing,euthanasia
metabolic process,metabolism
metal bar,ingot
metal saw,hacksaw
metallic element,metal
metallurgical engineer,metallurgist
methyl alcohol,methanol
methyl phenol,cresol
methylene chloride,dichloromethane
middle class,bourgeoisie
middle ear,tympanum
migration route,flyway
military blockade,siege
military control,occupation
military greeting,salute
military personnel,soldiery
military rank,paygrade
milk shake,milkshake
milk sickness,trembles
milk sugar,lactose
milling machine,miller
mineral extraction,beneficiation
minimal art,minimalism
minor expense,incidental
minor league,minors
minor premise,subsumption
minor tranquilizer,anxiolytic
missionary post,mission
missionary station,mission
missionary work,mission
mobile phone,cellphone
mocking thrush,thrasher
modal value,mode
monetary value,price
money box,cashbox
money changer,exchanger
monitoring device,monitor
moon ray,moonbeam
moral philosophy,ethics
moral principle,ethic
moral sense,conscience
mortgage holder,mortgagee
mosquito hawk,dragonfly
mother country,fatherland
mother superior,abbess
motive power,locomotion
motor nerve,efferent
mound bird,megapode
mountain climber,mountaineer
mountain climbing,mountaineering
mountain cranberry,lingonberry
mountain man,frontiersman
mourning band,weed
mouse deer,chevrotain
mouse mat,mousepad
movie making,moviemaking
movie theater,cinema
moving ridge,wave
moving staircase,escalator
mucous membrane,mucosa
mucous secretion,mucus
muscle building,bodybuilding
muscle system,musculature
muscular structure,musculature
muscular tissue,muscle
music director,conductor
mutual opposition,polarity
narrow margin,slimness
national leader,statesman
native land,fatherland
native sulfur,brimstone
natural event,happening
natural scientist,naturalist
natural state,wild
navy man,bluejacket
negative stimulation,turnoff
nerve cell,neuron
net ball,let
nettle rash,urticaria
nettle tree,hackberry
news bulletin,newsflash
news media,journalism
news reader,newsreader
night life,nightlife
night owl,nighthawk
nonfictional prose,nonfiction
nonsmoking car,nonsmoker
nonviolent resistance,nonviolence
north wind,northerly
nose count,census
nose job,rhinoplasty
notational system,notation
noun phrase,nominal
nuclear chemistry,radiochemistry
nuclear submarine,nautilus
nuclear warhead,nuke
nylon stocking,nylons
objective case,accusative
observation post,lookout
official emissary,legate
old person,oldster
olfactory organ,nose
one shot,round
operating cost,overhead
operating expense,overhead
opposite word,antonym
optical density,absorbance
optical maser,laser
orange red,scarlet
orchid cactus,epiphyllum
ordered series,scale
ore dressing,beneficiation
ore processing,beneficiation
organic law,constitution
organic structure,body
organized crime,gangland
osteogenic sarcoma,osteosarcoma
outer boundary,periphery
overhead railway,elevated
oyster catcher,oystercatcher
oyster plant,salsify
pack animal,sumpter
packing plant,packinghouse
paddle wheel,paddlewheel
pagan religion,paganism
page number,pagination
pain pill,analgesic
palm reading,palmistry
panic attack,scare
panther cat,ocelot
pants suit,pantsuit
paper bag,sack
papillary tumor,papilloma
parachute jumper,parachutist
parallel processing,multiprocessing
parasitic worm,helminth
paring knife,parer
parrot disease,psittacosis
particle board,fiberboard
passenger car,carriage
passenger vehicle,bus
passing play,pass
passive resistance,nonviolence
past perfect,pluperfect
patrol car,cruiser
patterned advance,progression
paying attention,attentiveness
payroll check,paycheck
pea jacket,peacoat
peace officer,lawman
peace pipe,calumet
peacock blue,aqua
peaked cap,kepi
pear haw,blackthorn
peat moss,sphagnum
pedestrian bridge,footbridge
pediatric medicine,pediatrics
pediculosis pubis,crabs
pelvic girdle,pelvis
performing artist,performer
periodontal disease,periodontitis
peritoneal inflammation,peritonitis
personal appeal,charisma
personal business,affairs
personal estate,personalty
personal magnetism,charisma
personal property,personalty
pharmaceutical chemist,pharmacologist
pharmaceutical company,pharma
pharmacological medicine,pharmacology
philosophical system,doctrine
phobic disorder,phobia
phone book,phonebook
phone company,telco
phone service,telco
phonograph recording,disc
phrase structure,syntax
phylogenetic relation,affinity
physical body,bod
physical exertion,exercise
physical geography,physiography
physical science,physics
physical structure,body
physical therapist,physiotherapist
physical therapy,physiotherapy
physiological psychology,neuropsychology
physiological reaction,reflex
piano keyboard,clavier
piano player,pianist
picket fence,paling
picture element,pixel
picture tube,kinescope
pig farm,piggery
pigeon berry,poke
pilot biscuit,hardtack
pilot bread,hardtack
pilotless aircraft,drone
pipe fitter,plumber
piston chamber,cylinder
pitch black,ebony
pitch contour,intonation
pizza parlor,pizzeria
pizza shop,pizzeria
place name,toponym
plant scientist,botanist
plantation owner,planter
plasminogen activator,urokinase
plastic explosive,plastique
play group,playschool
play list,playlist
playground ball,softball
pleasure seeker,hedonist
pleasure trip,excursion
plot line,storyline
plug hat,derby
plutonic rock,batholith
pneumatic hammer,jackhammer
pocket billiards,pool
pocket book,pocketbook
pocket bread,pita
pocket knife,pocketknife
point lace,needlepoint
poisonous substance,poison
police car,cruiser
police matron,policewoman
police officer,policeman
political leader,politico
political orientation,ideology
political relation,politics
political science,politics
political sympathies,politics
polly fish,parrotfish
polymeric amide,polyamide
polyphonic music,polyphony
pontoon plane,floatplane
porcelain clay,kaolin
pore fungus,polypore
porphyritic rock,porphyry
portmanteau word,blend
portrait painter,portraitist
possible action,possibility
post card,postcard
post doc,postdoc
post doc,postdoctoral
post house,posthouse
postal card,postcard
poster board,paperboard
potassium hydroxide,potash
potassium nitrate,saltpeter
potato pancake,latke
pouched mammal,marsupial
powder store,magazine
practical joker,prankster
practical politics,realpolitik
prairie wolf,coyote
prayer beads,rosary
precious stone,jewel
preconceived opinion,preconception
predatory animal,predator
pregnant chad,dimple
prehistoric culture,prehistory
premature infant,preemie
press release,handout
pressure group,lobby
price reduction,discount
prickly heat,miliaria
printing machine,printer
prison guard,jailer
private instructor,coach
private instructor,tutor
private property,personalty
private road,driveway
prize fight,prizefight
proteolytic enzyme,protease
pruning hook,pruner
psychedelic drug,hallucinogen
psychological disorder,folie
psychological medicine,psychiatry
psychological operation,psyop
psychological science,psychology
psychotic belief,delusion
pubic bone,pubis
public assistance,welfare
public eye,limelight
public house,pub
public lavatory,restroom
public security,peace
public speaker,orator
public toilet,restroom
public violence,riot
publishing company,publisher
publishing firm,publisher
publishing house,publisher
pudding stone,conglomerate
pulmonary tuberculosis,phthisis
purplish pink,solferino
putting iron,putter
quick fix,quickie
quotation mark,quote
rabbit fever,tularemia
race car,racer
race driver,racer
race horse,racehorse
racial discrimination,racialism
racial extermination,genocide
radar beacon,racon
radar dome,radome
radiation therapy,radiotherapy
radioactive dust,fallout
rail technology,railroading
railroad man,trainman
rain cloud,nimbus
rainbow fish,guppy
random variable,variate
rapid climb,zoom
rapid growth,zoom
reading desk,lectern
real property,realty
rear lamp,taillight
rear light,taillight
reasoning backward,regress
receiving system,receiver
reclining chair,recliner
record player,phonograph
recording equipment,recorder
recording machine,recorder
rectifying tube,diode
red lead,minium
red mullet,goatfish
red pepper,tabasco
red salmon,sockeye
red worm,earthworm
reddish blue,violet
redirect examination,reexamination
reducing agent,reducer
reduction division,meiosis
reflection factor,reflectance
reflective power,albedo
refuse collector,garbageman
refuse heap,scrapheap
regular hexahedron,cube
regular recurrence,rhythm
relief pitcher,reliever
relief printing,letterpress
religious belief,religion
religious order,sect
religious residence,cloister
repulsive force,repulsion
research worker,researcher
resonant circuit,resonator
resonating chamber,resonator
resort area,playground
rest area,layby
rest stop,layby
retail merchant,retailer
retail store,outlet
retired person,retiree
retirement benefit,superannuation
retirement check,superannuation
retirement fund,superannuation
retirement pension,superannuation
rich person,have
riding horse,mount
rip current,riptide
rising prices,inflation
risk taker,gambler
ritual killing,sacrifice
river blindness,onchocerciasis
river bottom,riverbed
road mender,roadman
road roller,steamroller
road runner,marathoner
rock drill,borer
rock garden,rockery
